# generated_by: rrwrite-analyze-repo
# description: Summary metrics by file category
#
category	file_count	total_size_mb	avg_size_kb	test_files	doc_files
doc	85	0.91	10.92	0	24
script	35	0.36	10.66	1	0
data	21	0.26	12.45	0	0
config	1	0.0	0.21	0	0
